City,Country,Date,Max Temp,Cloudiness,Humidity,lat,lon,Wind Speed
yellowknife,CA,2019-03-02 04:32:53,-26.82,5,62,62.45,-114.38,3.6
victoria,BN,2019-03-02 04:30:00,30.8,40,58,5.28,115.24,2.6
isangel,VU,2019-03-02 04:00:00,27,75,88,-19.55,169.27,2.1
ilo,PE,2019-03-02 04:42:03,16.52,0,93,-17.65,-71.34,0.96
buin,CL,2019-03-02 04:41:26,22.44,0,49,-33.73,-70.74,1.5
kavieng,PG,2019-03-02 04:42:04,28.67,56,100,-2.57,150.8,2.06
tiksi,RU,2019-03-02 04:42:04,-19.01,32,70,71.64,128.87,1.61
busselton,AU,2019-03-02 04:40:43,24.42,20,24,-33.64,115.35,5.01
berwick,US,2019-03-02 04:41:36,-0.84,90,86,41.06,-76.25,1.5
vaini,IN,2019-03-02 04:00:00,27.98,0,16,15.34,74.49,2.6
port alfred,ZA,2019-03-02 04:40:37,18.59,68,84,-33.59,26.89,0.45
bogorodskoye,RU,2019-03-02 04:42:09,-6.26,56,50,52.37,140.44,2.91
koszalin,PL,2019-03-02 04:40:53,-5,24,88,54.19,16.18,4.46
rikitea,PF,2019-03-02 04:42:10,25.49,92,100,-23.12,-134.97,6.01
punta arenas,CL,2019-03-02 04:33:14,10,40,87,-53.16,-70.91,5.7
kruisfontein,ZA,2019-03-02 04:42:11,17.74,68,85,-34,24.73,2.36
dire,ET,2019-03-02 04:42:11,16.99,0,55,9.18,38.92,1.76
alofi,NU,2019-03-02 04:00:00,30,76,74,-19.06,-169.92,3.6
pevek,RU,2019-03-02 04:42:13,-16.01,56,63,69.7,170.27,1.21
olga,US,2019-03-02 04:42:04,13.83,90,82,34.11,-118.17,2.6
te anau,NZ,2019-03-02 04:42:14,20.04,0,36,-45.41,167.72,1.41
provideniya,RU,2019-03-02 04:42:14,-3.29,0,91,64.42,-173.23,5.96
kodiak,US,2019-03-02 04:42:05,-1.76,40,45,39.95,-94.76,5.7
hobart,AU,2019-03-02 04:28:53,37.27,0,10,-42.88,147.33,8.7
pisco,PE,2019-03-02 04:00:00,23,0,78,-13.71,-76.2,4.1
atuona,PF,2019-03-02 04:42:16,27.22,0,100,-9.8,-139.03,3.46
